dataset,model,seed,label_ratio,epochs,aux_loss_weight,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,setting,display_model,context_policy
ctt_test02,cmf_can,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.8052438817376351,0.9609348015995924,1.0,0.0,8.834164123072749e-07,0.0481455064194008,0.0917899031106578,8.493723138600574e-05,0.0725719630718231,0.106811697574893,0.1921103271327774,0.0004926359420388,0.0380069352686405,0.153530670470756,0.2638271794086103,0.0009852718840776,0.0289652217179536,ctt_test02,CMF-CAN,static/no control
ctt_test02,wo_context,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9727336176812718,0.8040113708149084,0.9078102710413696,0.8527638190954774,0.918869731101452,0.9359482578635456,0.9704518139090932,0.0210814208300066,0.0921897289586305,3.95591839333069e-05,0.7803138373751783,0.876163780158174,8.493723138600574e-05,0.0001388977252645,0.8320256776034237,0.9058435255290236,0.0004756484957616,9.33013143367134e-05,0.8532453637660485,0.9157018467132332,0.0009852718840776,8.157080446835607e-05,ctt_test02,-Ctx,context removed
ctt_test02,frame_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.3101152520683493,0.8557927779459426,1.0,0.0,1.7847983235697057e-06,0.0005349500713266,0.001068376068376,8.493723138600574e-05,0.0962500721216201,0.00160485021398,0.0031880977683315,0.0004926359420388,0.0435123369097709,0.0051711840228245,0.0101861608710923,0.0009682844378004,0.029004868119955,ctt_test02,Frame-only,static/no control
ctt_test02,stats_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.1045831717720046,0.0865799492385786,0.9732524964336662,0.1590141009206386,0.1008164597668099,0.8547503891951407,0.8855980415316163,0.9781711315337964,0.0267475035663338,4.31519761150441e-07,0.8182952924393724,0.8996275240148991,8.493723138600574e-05,8.766603968979325e-06,0.8206134094151213,0.8994429785986514,0.0003907112643756,8.038420673983637e-06,0.8216833095577746,0.8974583698510078,0.0009003346526916,7.603648100484861e-06,ctt_test02,Stats-only,static/no control
ctt_test02,wo_gate,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.9226291078418614,0.9698586148901582,1.0,0.0,1.3733331388721436e-06,0.4304564907275321,0.6014700386196586,8.493723138600574e-05,0.0004096826887689,0.6492510699001427,0.7849520319068665,0.0004756484957616,0.0002592230157461,0.7198644793152639,0.8321137792435329,0.0009852718840776,0.0002141258592018,ctt_test02,-Gate,static/no control
ctt_test04,cmf_can,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.561732223903177,0.0170967962760131,0.6637873754152824,0.0333350017518394,0.3749817190963312,0.1731022345205453,0.6828002530300887,0.4394429779257048,0.3362126245847176,8.834164123072749e-07,0.0478405315614617,0.090566037735849,9.946822755269905e-05,0.9948807954788208,0.0617940199335548,0.111913357400722,0.000489689735644,0.9714956879615784,0.135548172757475,0.221980413492927,0.0009870308734075,0.0046452712267637,ctt_test04,CMF-CAN,static/no control
ctt_test04,wo_context,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9889939485627836,0.5912408759124088,0.107641196013289,0.1821247892074199,0.5882922429402863,0.1235543072416896,0.6870154892595032,0.000856957037377,0.892358803986711,3.95591839333069e-05,0.0026578073089701,0.0052770448548812,5.355981483606871e-05,0.2064872682094574,0.015282392026578,0.0289126335637963,0.0004820383335246,0.0177061036229133,0.1196013289036544,0.1986754966887417,0.0009717280691686,2.701367520785425e-05,ctt_test04,-Ctx,context removed
ctt_test04,frame_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.524894099848714,0.0184137757667169,0.7787375415282392,0.0359768544809908,0.3603725032868098,0.170763883819797,0.7530913914227273,0.4780289988140326,0.2212624584717608,1.7847983235697057e-06,0.0445182724252491,0.0845425867507886,9.946822755269905e-05,0.9982574582099916,0.0624584717607973,0.1133896260554885,0.0004514327250468,0.9675120115280152,0.1302325581395348,0.2140906608410704,0.0009946822755269,0.0068701803684234,ctt_test04,Frame-only,static/no control
ctt_test04,stats_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.4110438729198185,0.0155324035886958,0.8132890365448505,0.0304826418289585,0.3037709691338478,0.3084637975823677,0.7561293691952772,0.5935881250239107,0.1867109634551495,4.31519761150441e-07,0.1534883720930232,0.2641509433962264,9.946822755269905e-05,1.9930448615923524e-06,0.1787375415282392,0.2925502990755845,0.0004973411377634,1.5551343039987842e-06,0.2019933554817276,0.3135636926250645,0.0009946822755269,1.3824794677930186e-06,ctt_test04,Stats-only,static/no control
ctt_test04,wo_gate,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.933608169440242,0.0663167938931297,0.3694352159468438,0.1124481747396096,0.5389812177099473,0.1298270267823226,0.6744992290767515,0.0598951757909636,0.6305647840531562,1.3733331388721436e-06,0.0,0.0,9.946822755269905e-05,0.921496033668518,0.001328903654485,0.0025706940874035,0.0003749187038524,0.695261538028717,0.1169435215946843,0.1943677526228603,0.0009946822755269,1.9422182958805934e-05,ctt_test04,-Gate,static/no control
