Dataset,Model,attack_type,Precision,Recall,F1,FPR,count
ctt_test01,CMF-CAN,DoS-3,1.0,0.9707317073170731,0.9851485148514852,0.0,410
ctt_test01,CMF-CAN,DoS-4,1.0,0.0038910505836575,0.0077519379844961,0.0,771
ctt_test01,CMF-CAN,force-neutral-3,1.0,0.9918032786885246,0.9958847736625512,0.0,122
ctt_test01,CMF-CAN,force-neutral-4,1.0,1.0,1.0,0.0,49
ctt_test01,CMF-CAN,rpm-3,1.0,1.0,1.0,0.0,194
ctt_test01,CMF-CAN,rpm-4,1.0,0.918032786885246,0.9572649572649572,0.0,61
ctt_test01,CMF-CAN,standstill-3,1.0,0.9963503649635036,0.9981718464351006,0.0,274
ctt_test01,CMF-CAN,standstill-4,0.0,0.0,0.0,0.0,52
ctt_test01,Concat-Fusion,DoS-3,1.0,0.9780487804878047,0.9889025893958076,0.0,410
ctt_test01,Concat-Fusion,DoS-4,1.0,0.8651102464332037,0.9276773296244784,0.0,771
ctt_test01,Concat-Fusion,force-neutral-3,1.0,0.9918032786885246,0.9958847736625512,0.0,122
ctt_test01,Concat-Fusion,force-neutral-4,1.0,1.0,1.0,0.0,49
ctt_test01,Concat-Fusion,rpm-3,1.0,1.0,1.0,0.0,194
ctt_test01,Concat-Fusion,rpm-4,1.0,0.2459016393442623,0.3947368421052631,0.0,61
ctt_test01,Concat-Fusion,standstill-3,1.0,0.6532846715328468,0.7902869757174392,0.0,274
ctt_test01,Concat-Fusion,standstill-4,0.0,0.0,0.0,0.0,52
ctt_test01,Transformer,DoS-3,1.0,0.8975609756097561,0.9460154241645244,0.0,410
ctt_test01,Transformer,DoS-4,1.0,0.6264591439688716,0.7703349282296651,0.0,771
ctt_test01,Transformer,force-neutral-3,1.0,0.9918032786885246,0.9958847736625512,0.0,122
ctt_test01,Transformer,force-neutral-4,1.0,1.0,1.0,0.0,49
ctt_test01,Transformer,rpm-3,1.0,1.0,1.0,0.0,194
ctt_test01,Transformer,rpm-4,1.0,0.9016393442622952,0.9482758620689656,0.0,61
ctt_test01,Transformer,standstill-3,1.0,0.9343065693430656,0.9660377358490566,0.0,274
ctt_test01,Transformer,standstill-4,0.0,0.0,0.0,0.0,52
ctt_test02,CMF-CAN,DoS-3,1.0,1.0,1.0,0.0,4834
ctt_test02,CMF-CAN,DoS-4,1.0,1.0,1.0,0.0,183
ctt_test02,CMF-CAN,force-neutral-3,1.0,1.0,1.0,0.0,32
ctt_test02,CMF-CAN,force-neutral-4,1.0,1.0,1.0,0.0,56
ctt_test02,CMF-CAN,rpm-3,1.0,1.0,1.0,0.0,126
ctt_test02,CMF-CAN,rpm-4,1.0,1.0,1.0,0.0,26
ctt_test02,CMF-CAN,standstill-3,1.0,1.0,1.0,0.0,272
ctt_test02,CMF-CAN,standstill-4,1.0,1.0,1.0,0.0,79
ctt_test02,Concat-Fusion,DoS-3,1.0,1.0,1.0,0.0,4834
ctt_test02,Concat-Fusion,DoS-4,1.0,1.0,1.0,0.0,183
ctt_test02,Concat-Fusion,force-neutral-3,1.0,1.0,1.0,0.0,32
ctt_test02,Concat-Fusion,force-neutral-4,1.0,1.0,1.0,0.0,56
ctt_test02,Concat-Fusion,rpm-3,1.0,1.0,1.0,0.0,126
ctt_test02,Concat-Fusion,rpm-4,1.0,1.0,1.0,0.0,26
ctt_test02,Concat-Fusion,standstill-3,1.0,1.0,1.0,0.0,272
ctt_test02,Concat-Fusion,standstill-4,1.0,1.0,1.0,0.0,79
ctt_test02,Transformer,DoS-3,1.0,1.0,1.0,0.0,4834
ctt_test02,Transformer,DoS-4,1.0,1.0,1.0,0.0,183
ctt_test02,Transformer,force-neutral-3,1.0,1.0,1.0,0.0,32
ctt_test02,Transformer,force-neutral-4,1.0,1.0,1.0,0.0,56
ctt_test02,Transformer,rpm-3,1.0,1.0,1.0,0.0,126
ctt_test02,Transformer,rpm-4,1.0,1.0,1.0,0.0,26
ctt_test02,Transformer,standstill-3,1.0,1.0,1.0,0.0,272
ctt_test02,Transformer,standstill-4,1.0,1.0,1.0,0.0,79
ctt_test03,CMF-CAN,double-3,1.0,0.6732673267326733,0.8047337278106509,0.0,101
ctt_test03,CMF-CAN,double-4,1.0,0.1489361702127659,0.2592592592592592,0.0,47
ctt_test03,CMF-CAN,fuzzing-3,0.0,0.0,0.0,0.0,1360
ctt_test03,CMF-CAN,fuzzing-4,0.0,0.0,0.0,0.0,38
ctt_test03,CMF-CAN,interval-3,0.0,0.0,0.0,0.0,4291
ctt_test03,CMF-CAN,interval-4,0.0,0.0,0.0,0.0,126
ctt_test03,CMF-CAN,speed-3,1.0,0.5276381909547738,0.6907894736842105,0.0,199
ctt_test03,CMF-CAN,speed-4,1.0,0.1647058823529411,0.2828282828282828,0.0,85
ctt_test03,CMF-CAN,systematic-3,0.0,0.0,0.0,0.0,919
ctt_test03,CMF-CAN,systematic-4,0.0,0.0,0.0,0.0,124
ctt_test03,CMF-CAN,triple-3,1.0,0.7167630057803468,0.8350168350168351,0.0,173
ctt_test03,CMF-CAN,triple-4,1.0,0.3043478260869565,0.4666666666666667,0.0,46
ctt_test03,Concat-Fusion,double-3,1.0,0.297029702970297,0.4580152671755725,0.0,101
ctt_test03,Concat-Fusion,double-4,1.0,0.1489361702127659,0.2592592592592592,0.0,47
