dataset,model,seed,label_ratio,epochs,aux_loss_weight,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
road,cmf_can,42,0.01,20,0.2,ce,2.0,,weighted,f1,none,0.959446285825697,0.6080038572806171,0.4608918128654971,0.5243243243243243,0.7515723150854783,0.5110118460391163,0.8354939927566993,0.0151444591397649,0.5391081871345029,0.915783216059208,0.0720029239766082,0.1341504937010555,7.451148408248421e-05,0.991041898727417,0.112938596491228,0.2012373819602735,0.0004843246465361,0.988400101661682,0.1622807017543859,0.2746674914939684,0.0009872771640929,0.9851062297821044
road,cmf_can,42,0.01,20,0.0,ce,2.0,,none,f1,balanced,0.9548910827912582,0.549869451697128,0.3848684210526316,0.4528058482046871,0.7146408824522377,0.4353870119100776,0.8055335030430425,0.0160572248197753,0.6151315789473685,0.8423946082592011,0.0621345029239766,0.1167983510821023,9.313935510310526e-05,0.9806684851646424,0.0906432748538011,0.1647840531561461,0.0004843246465361,0.9749814867973328,0.1239035087719298,0.2167519181585677,0.0009872771640929,0.9674014449119568
ctt_test01,cmf_can,42,0.01,15,0.2,ce,2.0,,weighted,f1,none,0.9063343972501842,0.1811377245508982,0.5007759958613555,0.2660436993266456,0.6080094394616687,0.3402727132598443,0.8972586071673682,0.0794350959356677,0.4992240041386446,0.1884684348106384,0.1681324366270046,0.2872293415819708,9.076222113307556e-05,0.506860613822937,0.1748577340920848,0.2944250871080139,0.0004538111056653,0.460912674665451,0.1821003621314019,0.3008547008547009,0.0009983844324638,0.4246979057788849
ctt_test01,cmf_can,42,0.01,15,0.2,focal,2.0,,weighted,f1,none,0.9702921679351828,0.7357001972386588,0.1929643041903776,0.3057377049180327,0.645279518743379,0.294953831300845,0.8284361363158221,0.0024324275263664,0.8070356958096223,0.4513074910640731,0.1686497672012415,0.2881131241714538,7.260977690646045e-05,0.5277056097984314,0.173305742369374,0.2920662598081953,0.0004719635498919,0.5009909868240356,0.1800310398344542,0.2990975504941985,0.0008350124344242,0.4820860624313354
