baseline,auroc,aupr,accuracy,attack_precision,attack_recall,attack_f1,normal_precision,normal_recall,normal_f1,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_f1,balanced_accuracy,mcc,tn,fp,fn,tp,num_pos,num_neg,positive_rate
predict_all_normal,,0.001077,0.9989225868354241,0.0,0.0,0.0,0.9989225868354241,1.0,0.9994610030565108,0.4997305015282554,0.9978463344899754,0.9989225868354241,0.9983841706143375,0.9989225868354241,0.5,,13206311,0,14244,0,14244,13206311,0.0010774131645759199
predict_all_attack,,0.001077,0.0010774131645759199,0.0010774131645759199,1.0,0.002152507189568954,0.0,0.0,0.0,0.001076253594784477,1.1608191272014981e-06,0.0010774131645759199,2.319139582885906e-06,0.0010774131645759199,0.5,,0,13206311,0,14244,14244,13206311,0.0010774131645759199
random_base_rate,0.5,0.001077,0.9978479075833805,0.0010774131645759199,0.001077,0.001077206542670451,0.998922586835424,0.9989229999999999,0.9989227934176692,0.4999999999801698,0.9978474953091026,0.9978479075833805,0.9978477014461561,0.9978479075833805,0.49999999999999994,0.0,13192088,14223,14229,15,14244,13206311,0.0010774131645759197
random_1_percent_attack,0.5,0.001077,0.9889441350987156,0.0010774131645759197,0.01,0.0019452432595388647,0.998922586835424,0.99,0.9944412794271318,0.4981932613433353,0.9978474953091026,0.9889441350987156,0.9933719511319754,0.9889441350987156,0.5,0.0,13074248,132063,14102,142,14244,13206311,0.0010774131645759199
random_0.1_percent_attack,0.5,0.001077,0.9979247416617533,0.0010774131645759199,0.001,0.001037264211999794,0.9989225868354241,0.999,0.9989612919179547,0.49999927806497724,0.9978474953091026,0.9979247416617533,0.9978861154332577,0.9979247416617533,0.5,0.0,13193105,13206,14230,14,14244,13206311,0.0010774131645759199
