dataset,feature_protocol,model,granularity,negative_protocol,source,auroc,aupr,accuracy,attack_precision,attack_recall,attack_f1,normal_precision,normal_recall,normal_f1,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_f1,balanced_accuracy,mcc,tn,fp,fn,tp,num_pos,num_neg,positive_rate,recall_at_fpr_1e_4,recall_at_fpr_1e_3,recall_at_fpr_1e_2
ctt_test04,SAFE_CAN,RandomForest,sample,A_capped,test04_public_reproduction,0.6790209897251585,0.0458748506937329,0.9884914816359828,0.031295670674923524,0.3232238135355237,0.05706600891191609,0.9992626272407833,0.9892090228679303,0.9942104098162566,0.5256382093640863,0.9982197268989047,0.9884914816359828,0.9932007181016136,0.9884914816359828,0.656216418201727,0.09771087807130807,13063802.0,142509.0,9640.0,4604.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,SAFE_CAN,ExtraTrees,sample,A_capped,test04_public_reproduction,0.5378220029791998,0.0332663341223521,0.9914642010112285,0.008768084173608174,0.061780398764392,0.015356694122574505,0.9989814172674772,0.9924669349373948,0.9957135209227569,0.5055351075226657,0.9979145483866634,0.9914642010112285,0.9946572715715805,0.9914642010112285,0.5271236668508934,0.02050340924570937,13106827.0,99484.0,13364.0,880.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,SAFE_CAN,IsolationForest,sample,A_capped,test04_public_reproduction,0.7940719037595616,0.1645497872201949,0.01611467899796945,0.001093861856090969,1.0,0.002185333259486539,1.0,0.015053484655934575,0.029660475794607313,0.015922904527046925,0.998923765376588,0.01611467899796945,0.029630873714341373,0.01611467899796945,0.5075267423279672,0.004057885245590062,198801.0,13007510.0,0.0,14244.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,SAFE_CAN,BIRCH,sample,A_capped,test04_public_reproduction,0.7832661576425786,0.3197762726081165,0.18857687895856112,0.0012442334440042806,0.938149396237012,0.0024851708961809303,0.9996448452779136,0.18776840860403787,0.31615231033242985,0.1593187406143054,0.9985691553152032,0.18857687895856112,0.3158143612271064,0.18857687895856112,0.5629589024205249,0.010580682444662386,2479728.0,10726583.0,881.0,13363.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,SAFE_CAN,LinearSVM,sample,A_capped,test04_public_reproduction,0.2937491357379974,0.0076714778793781,0.9970641928421311,0.020642291333359923,0.0371384442572311,0.02653557723658847,0.9989605854613227,0.998099544982698,0.9985298796014839,0.5125327284190362,0.9979065324520838,0.9970641928421311,0.9974826401442232,0.9970641928421311,0.5176189946199645,0.026282426858315132,13181213.0,25098.0,13715.0,529.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,P1_public_default,MLP,sample,B_2x_negative_cap,test04_public_reproduction,0.3387758446646207,0.0070505235204283,0.8646745919516995,0.0008729218189395913,0.1089581578208368,0.0017319679206508718,0.9988908132736757,0.8654896889827901,0.9274176577813988,0.46457481285102487,0.9978155356589401,0.8646745919516995,0.9264203118328834,0.8646745919516995,0.4872239234018135,-0.0024570464196718086,11429926.0,1776385.0,12692.0,1552.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,P1_public_default,GradientBoosting,sample,B_2x_negative_cap,test04_public_reproduction,0.5952780761074237,0.0203805344092604,0.9768663267162384,0.003608928352558262,0.074417298511654,0.006884010910507873,0.998980106428184,0.977839685889572,0.9882968566743772,0.4975904337924425,0.997907680417286,0.9768663267162384,0.9872394695544673,0.9768663267162384,0.526128492200613,0.01163164434426542,12913655.0,292656.0,13184.0,1060.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,P1_public_default,HistGradientBoosting,sample,B_2x_negative_cap,test04_public_reproduction,0.5592720790099024,0.0030840756177576,0.9908395676278342,0.010543769008098017,0.0808059533838809,0.018653571891611737,0.9990014026734463,0.9918211073478431,0.9953983064326818,0.5070259391621468,0.9979364254063098,0.9908395676278342,0.9943459487972571,0.9908395676278342,0.536313530365862,0.026329408717444696,13098298.0,108013.0,13093.0,1151.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,SAFE_CAN,MLP,sample,B_2x_negative_cap,test04_public_reproduction,0.4635374868733956,0.0018608150549244,0.9795321754646458,0.004288973972231891,0.0778573434428531,0.008130081300813009,0.9989866521215693,0.980504699609149,0.9896593954761136,0.4988947383884633,0.9979149517483582,0.9795321754646458,0.988601882871604,0.9795321754646458,0.529181021526001,0.013826504659844044,12948850.0,257461.0,13135.0,1109.0,14244.0,13206311.0,0.0010774131645759199,,,
ctt_test04,SAFE_CAN,GradientBoosting,sample,B_2x_negative_cap,test04_public_reproduction,0.6103406466955011,0.2636050023882967,0.9991711391843988,0.7388775806921252,0.3567818028643639,0.48120443139855523,0.9993066275193498,0.9998640044142532,0.99958523826733,0.7403948348329427,0.9990260378358603,0.9991711391843988,0.9990267279617462,0.9991711391843988,0.6783229036393086,0.5130987262290838,13204515.0,1796.0,9162.0,5082.0,14244.0,13206311.0,0.0010774131645759199,,,
